Date,Close
2020-02-10,87.53
2020-02-11,87.51
2020-02-12,88.57
2020-02-13,89.93
2020-02-14,89.28
2020-02-18,89.23
2020-02-19,90.14
2020-02-20,88.6
2020-02-21,87.36
2020-02-24,84.52
2020-02-25,82.19
2020-02-26,80.67
2020-02-27,78.29
2020-02-28,78.43
2020-03-02,82.38
2020-03-03,78.6
2020-03-04,79.67
2020-03-05,76.19
2020-03-06,75.34
2020-03-09,70.83
2020-03-10,74.87
2020-03-11,68.3
2020-03-12,62.1
2020-03-13,69.92
2020-03-16,58.59
2020-03-17,58.98
2020-03-18,56.33
2020-03-19,61.41
2020-03-20,58.03
2020-03-23,56.55
2020-03-24,64.88
2020-03-25,65.81
2020-03-26,69.9
2020-03-27,66.34
2020-03-30,67.86
2020-03-31,65.74
2020-04-01,62.62
2020-04-02,65.0
2020-04-03,63.05
2020-04-06,67.79
2020-04-07,68.71
2020-04-08,71.57
2020-04-09,73.88
2020-04-13,71.76
2020-04-14,73.67
2020-04-15,72.55
2020-04-16,73.51
2020-04-17,77.1
2020-04-20,75.32
2020-04-21,72.72
2020-04-22,77.45
2020-04-23,75.15
2020-04-24,75.58
2020-04-27,77.74
2020-04-28,78.69
2020-04-29,76.86
2020-04-30,76.73
2020-05-01,73.79
2020-05-04,71.89
2020-05-05,72.9
2020-05-06,72.96
2020-05-07,76.0
2020-05-08,77.87
2020-05-11,75.87
2020-05-12,74.35
2020-05-13,73.62
2020-05-14,74.19
2020-05-15,74.16
2020-05-18,76.23
2020-05-19,75.86
2020-05-20,77.76
2020-05-21,78.05
2020-05-22,77.62
2020-05-26,77.76
2020-05-27,78.6
2020-05-28,78.54
2020-05-29,77.99
2020-06-01,78.32
2020-06-02,77.78
2020-06-03,79.58
2020-06-04,78.74
2020-06-05,82.14
2020-06-08,83.56
2020-06-09,82.37
2020-06-10,79.01
2020-06-11,72.57
2020-06-12,76.38
2020-06-15,76.96
2020-06-16,77.84
2020-06-17,77.1
2020-06-18,76.31
2020-06-19,75.4
2020-06-22,75.4
2020-06-23,75.49
2020-06-24,73.64
2020-06-25,73.85
2020-06-26,71.57
2020-06-29,73.48
2020-06-30,73.59
2020-07-01,74.03
2020-07-02,73.78
2020-07-06,75.44
2020-07-07,74.25
2020-07-08,74.14
2020-07-09,73.57
2020-07-10,74.29
2020-07-13,72.65
2020-07-14,72.73
2020-07-15,75.61
2020-07-16,74.39
2020-07-17,74.16
2020-07-20,74.96
2020-07-21,75.44
2020-07-22,77.24
2020-07-23,75.36
2020-07-24,75.78
2020-07-27,76.46
2020-07-28,74.64
2020-07-29,77.42
2020-07-30,76.64
2020-07-31,76.53
2020-08-03,75.5
2020-08-04,75.13
2020-08-05,75.78
2020-08-06,75.66
2020-08-07,75.79
2020-08-10,77.47
2020-08-11,78.87
2020-08-12,79.29
2020-08-13,79.02
2020-08-14,78.37
2020-08-17,78.95
2020-08-18,78.99
2020-08-19,77.63
2020-08-20,77.22
2020-08-21,77.07
2020-08-24,78.68
2020-08-25,82.72
2020-08-26,82.41
2020-08-27,83.41
2020-08-28,85.0
2020-08-31,84.47
2020-09-01,86.05
2020-09-02,88.35
2020-09-03,86.48
2020-09-04,86.27
2020-09-08,85.41
2020-09-09,85.86
2020-09-10,84.88
2020-09-11,85.27
2020-09-14,86.63
2020-09-15,87.71
2020-09-16,88.38
2020-09-17,86.75
2020-09-18,84.95
2020-09-21,83.89
2020-09-22,83.95
2020-09-23,82.99
2020-09-24,83.04
2020-09-25,84.3
2020-09-28,86.07
2020-09-29,84.8
2020-09-30,85.92
2020-10-01,86.74
2020-10-02,86.57
2020-10-05,88.47
2020-10-06,87.01
2020-10-07,88.45
2020-10-08,89.53
2020-10-09,90.01
2020-10-12,90.78
2020-10-13,90.16
2020-10-14,89.31
2020-10-15,88.83
2020-10-16,88.52
2020-10-19,87.6
2020-10-20,88.51
2020-10-21,88.27
2020-10-22,89.36
2020-10-23,90.8
2020-10-26,89.66
2020-10-27,90.05
2020-10-28,87.17
2020-10-29,88.3
2020-10-30,86.96
2020-11-02,85.97
2020-11-03,88.39
2020-11-04,89.79
2020-11-05,90.62
2020-11-06,90.65
2020-11-09,95.88
2020-11-10,93.92
2020-11-11,95.04
2020-11-12,93.53
2020-11-13,95.56
2020-11-16,97.78
2020-11-17,98.6
2020-11-18,97.91
2020-11-19,97.76
2020-11-20,97.01
2020-11-23,96.88
2020-11-24,98.3
2020-11-25,98.2
2020-11-27,98.66
2020-11-30,98.02
2020-12-01,98.82
2020-12-02,98.91
2020-12-03,100.11
2020-12-04,102.28
2020-12-07,101.41
2020-12-08,101.21
2020-12-09,100.4
2020-12-10,105.39
2020-12-11,103.0
2020-12-14,103.32
2020-12-15,104.18
2020-12-16,103.27
2020-12-17,103.21
2020-12-18,103.28
2020-12-21,102.94
2020-12-22,102.41
2020-12-23,102.06
2020-12-24,102.01
2020-12-28,104.34
2020-12-29,105.63
2020-12-30,105.97
2020-12-31,106.98
2021-01-04,103.1
2021-01-05,103.44
2021-01-06,104.19
2021-01-07,103.35
2021-01-08,105.67
2021-01-11,104.6
2021-01-12,102.82
2021-01-13,102.89
2021-01-14,101.82
2021-01-15,102.33
2021-01-19,102.54
2021-01-20,105.46
2021-01-21,104.58
2021-01-22,103.91
2021-01-25,103.45
2021-01-26,104.69
2021-01-27,97.87
2021-01-28,98.15
2021-01-29,96.81
2021-02-01,98.58
2021-02-02,101.65
2021-02-03,101.02
2021-02-04,103.64
2021-02-05,106.48
2021-02-08,106.26
2021-02-09,106.22
2021-02-10,105.87
2021-02-11,105.86
2021-02-12,105.3
2021-02-16,106.15
2021-02-17,104.44
2021-02-18,104.97
2021-02-19,103.37
2021-02-22,101.81
2021-02-23,101.37
2021-02-24,104.38
2021-02-25,103.47
2021-02-26,108.03
2021-03-01,106.87
2021-03-02,107.2
2021-03-03,106.22
2021-03-04,104.89
2021-03-05,105.2
2021-03-08,105.03
2021-03-09,106.55
2021-03-10,107.78
2021-03-11,107.32
2021-03-12,107.81
2021-03-15,108.9
2021-03-16,111.34
2021-03-17,110.46
2021-03-18,107.62
2021-03-19,106.34
2021-03-22,107.57
2021-03-23,106.25
2021-03-24,104.97
2021-03-25,107.35
2021-03-26,109.9
2021-03-29,109.13
2021-03-30,110.27
2021-03-31,109.27
2021-04-01,109.38
2021-04-05,111.02
2021-04-06,113.15
2021-04-07,113.19
